experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,energy_cost_model,oracle_tier,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_iter,x_alpha,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length
phase1-loop,taker-iteration,2026-08-14T22:33:25.190401+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,53c3b6c4fbe1,3,150.0,98.3,3150.0,3300.494421657849,150.49442165784922,exact-milp/taker,GRB,OPTIMAL,3300.494421657849,3300.494421657848,4.1334475335187177e-16,3101.999999999999,198.49442165785013,3.7546517848968506,0.04062461853027344,2350,888,2787,160.0978357203487,143.9749857203487,3310.0978357203485,3293.9749857203487,98.3,loop,6,0.5,,,,cycle,5
phase1-static,uncontrolled,2026-08-14T22:32:37.777007+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1890e8ca64fe,3,150.0,98.3,3150.0,3270.286472370294,120.28647237029418,policy/uncontrolled-charge-on-arrival,GRB,OPTIMAL,3270.286472370294,3270.286472370294,0.0,3101.999999999999,168.2864723702951,3.922093629837036,0.049382925033569336,2350,888,2787,169.7252271834014,153.6023771834014,3319.7252271834013,3303.6023771834016,98.3,s0_n12_duck_b0.01_a0.5,,,,,,,
phase1-static,taker,2026-08-14T22:32:41.912132+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3277.8521357203485,127.85213572034854,exact-milp/taker,GRB,OPTIMAL,3277.8521357203485,3277.8521357203485,0.0,3101.9999999999995,175.852135720349,3.9878344535827637,0.04573941230773926,2350,888,2787,160.1002357203487,143.97618572034872,3310.100235720349,3293.976185720349,98.29999999999998,s0_n12_duck_b0.01_a0.5,,,,,,,
phase1-static,strategic,2026-08-14T22:32:47.809912+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,b36268a602df,3,150.0,98.3,3150.0,3280.00526709884,130.0052670988398,exact-milp/strategic-pwl16,GRB,OPTIMAL,3280.00526709884,3280.00526709884,0.0,3101.999999999999,178.0052670988407,5.762373208999634,0.04319930076599121,2378,888,3235,157.47976709883972,143.74251709883967,3307.4797670988396,3293.7425170988395,98.3,s0_n12_duck_b0.01_a0.5,,,,,,,
phase1-static,dictator,2026-08-14T22:32:52.556825+00:00,totient-cpu-06.cs.cornell.edu,4cf37e9,50875,13,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,242fe1690a9a,3,150.0,98.3,3150.0,3280.00526709884,130.0052670988398,exact-milp/dictator-pwl16,GRB,OPTIMAL,3280.00526709884,3280.00526709884,0.0,3101.999999999999,178.0052670988407,4.612438678741455,0.04151296615600586,2378,888,3235,157.42576709883969,143.71551709883968,3307.4257670988395,3293.71551709884,98.3,s0_n12_duck_b0.01_a0.5,,,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:02.393877+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,a2be72b0a106,3,150.0,98.3,3150.0,3277.8521357203485,127.85213572034854,exact-milp/taker,GRB,OPTIMAL,3277.8521357203485,3277.8521357203485,0.0,3101.9999999999995,175.852135720349,6.179504871368408,0.05446958541870117,2350,888,2787,160.1002357203487,143.97618572034872,3310.100235720349,3293.976185720349,98.29999999999998,loop,0,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:10.450352+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,999fe897ded2,3,150.0,98.3,3150.0,3303.6562102484413,153.6562102484413,exact-milp/taker,GRB,OPTIMAL,3303.6562102484413,3303.6562102484413,0.0,3101.999999999999,201.65621024844222,7.913874864578247,0.04364132881164551,2350,888,2787,174.1370102484412,158.0141602484412,3324.137010248441,3308.0141602484414,98.3,loop,1,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:17.851408+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,e9cec48b8056,bc798da2a6e3,3,150.0,98.3,3150.0,3280.5038123397553,130.5038123397553,exact-milp/taker,GRB,OPTIMAL,3280.5038123397553,3280.5038123397553,0.0,3101.9999999999995,178.50381233975577,7.183926105499268,0.06055498123168945,2350,888,2787,184.97831233975546,157.74106233975544,3334.9783123397556,3307.7410623397554,98.30000000000001,loop,2,1.0,,,,,
phase1-loop,taker-iteration,2026-08-14T22:33:24.091445+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,999fe897ded2,3,150.0,98.3,3150.0,3291.891310248441,141.8913102484412,exact-milp/taker,GRB,OPTIMAL,3291.891310248441,3291.891310248441,0.0,3101.9999999999986,189.89131024844255,6.089998960494995,0.06489396095275879,2350,888,2787,174.1370102484412,158.0141602484412,3324.137010248441,3308.0141602484414,98.3,loop,3,1.0,,,,cycle,2
phase1-static,uncontrolled,2026-08-14T22:32:37.821481+00:00,totient-cpu-05.cs.cornell.edu,4cf37e9,50874,12,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,1890e8ca64fe,3,150.0,98.3,3150.0,3270.286472370294,120.28647237029418,policy/uncontrolled-charge-on-arrival,GRB,OPTIMAL,3270.286472370294,3270.286472370294,0.0,3101.999999999999,168.2864723702951,4.423893690109253,0.04693198204040527,2350,888,2787,169.7252271834014,153.6023771834014,3319.7252271834013,3303.6023771834016,98.3,s0_n12_duck_b0.01_a1,,,,,,,
