cell,seed,n_trips,slot,kind,tie_margin,economic,load_l1,load_jump_slot,delta_lo,delta_hi,schedule_changed,margin_b_at_a,margin_a_at_b
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.37,-1.36,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.36,-1.35,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.35,-1.34,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.34,-1.33,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.33,-1.32,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.32,-1.31,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.31,-1.3,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.3,-1.29,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.29,-1.28,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.28,-1.27,True,,
s2_n8_slot12,2,8,12,duty_change,False,True,45.7,-45.7,-1.27,-1.26,True,0.2173395328,0.2396604672
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.26,-1.25,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.25,-1.24,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.24,-1.23,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.23,-1.22,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.2,-1.19,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.17,-1.16,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.16,-1.15,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.1,-1.09,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.04,-1.03,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.03,-1.02,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.02,-1.01,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-1.01,-1,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.99,-0.98,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.96,-0.95,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.91,-0.9,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.9,-0.89,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.89,-0.88,True,,
s2_n8_slot12,2,8,12,duty_change,False,True,16.7,-16.7,-0.83,-0.82,True,0.006699139865,0.02130086014
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.82,-0.81,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.79,-0.78,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.63,-0.62,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.58,-0.57,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.54,-0.53,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.53,-0.52,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.42,-0.41,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.4,-0.39,True,,
s2_n8_slot12,2,8,12,degenerate_tie,False,False,0,0,-0.39,-0.38,True,,
