experiment,regime,timestamp,host,git_commit,slurm_job_id,slurm_array_task_id,instance_name,instance_hash,n_trips,max_vehicles,schedule_hash,load_hash,fleet,dh_min_total,energy_charged_kwh,ops_cost,obj_model,obj_true,energy_cost_model,oracle_tier,replay_ok,solver_backend,solver_status,solver_obj,solver_bound,solver_mip_gap,solver_lp_obj,solver_lp_mip_gap_abs,solver_wall_s,solver_lp_wall_s,solver_n_vars,solver_n_int,solver_n_constrs,adaptive_rounds,adaptive_lb,adaptive_ub,adaptive_gap_abs,adaptive_converged,econ_bill,econ_system_cost_delta,econ_total_private,econ_total_system,econ_energy_kwh,x_tag,x_cell,x_seed,x_shape,x_b_scale,x_alpha,x_tol_price,x_iter,x_price_residual,x_load_residual,x_schedule_recurred,x_response_recurred,x_sweep_slot,x_delta,x_idx,x_outcome_type,x_cycle_length,n_replay_violations,replay_original_ok,replay_effective_ok,replay_revalidation_status,replay_policy_version,replay_tolerance_kwh
phase1-loop,taker-iteration,2026-08-15T01:33:51.567884+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.197068887005,3244.197068887005,94.19706888700512,exact-milp/taker,True,GRB,OPTIMAL,3244.197068887005,3244.197068887005,0.0,3101.9999999999995,142.19706888700557,3.6953513622283936,0.043236494064331055,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,20,0.0008340158504913653,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:55.025864+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3244.275445402779,3244.275445402779,94.27544540277904,exact-milp/taker,True,GRB,OPTIMAL,3244.275445402779,3244.275445402779,0.0,3101.9999999999995,142.2754454027795,3.3382790088653564,0.038072824478149414,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,21,0.000783962160449736,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:33:58.767110+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.3460201853404,3244.3460201853404,94.34602018534042,exact-milp/taker,True,GRB,OPTIMAL,3244.3460201853404,3244.3460201853404,0.0,3101.9999999999995,142.34602018534088,3.5865097045898438,0.04634833335876465,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,22,0.0006755528388979748,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:02.538393+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.409545738841,3244.409545738841,94.40954573884119,exact-milp/taker,True,GRB,OPTIMAL,3244.409545738841,3244.409545738841,0.0,3101.9999999999995,142.40954573884164,3.610095500946045,0.04184293746948242,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,23,0.0006079975550081773,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:06.018340+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3244.4666730988406,3244.4666730988406,94.4666730988406,exact-milp/taker,True,GRB,OPTIMAL,3244.4666730988406,3244.4666730988406,0.0,3101.9999999999995,142.46667309884106,3.338339328765869,0.043404340744018555,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,24,0.0005943084149678812,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:09.304648+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.5181264353278,3244.5181264353278,94.51812643532776,exact-milp/taker,True,GRB,OPTIMAL,3244.5181264353278,3244.5181264353278,0.0,3101.9999999999995,142.5181264353282,3.163011074066162,0.04175901412963867,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,25,0.0005040318507745223,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:12.960570+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.56444136383,3244.56444136383,94.56444136383016,exact-milp/taker,True,GRB,OPTIMAL,3244.56444136383,3244.5644413638297,1.401566709814875e-16,3101.9999999999995,142.5644413638306,3.5076708793640137,0.042653560638427734,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,26,0.00045362866569709226,0.0,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:16.222116+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,43d21a4a9143,6387dd98a223,3,150.0,98.3,3150.0,3244.6060780892694,3244.6060780892694,94.60607808926943,exact-milp/taker,True,GRB,OPTIMAL,3244.6060780892694,3244.606078089269,1.4015487240727303e-16,3101.9999999999995,142.6060780892699,3.133059024810791,0.04432559013366699,2350,888,2787,,,,,,94.9817557203487,91.75694572034872,3244.9817557203487,3241.7569457203485,98.29999999999998,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,27,0.0004560508345115011,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:20.254487+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.6435918915686,3244.6435918915686,94.64359189156858,exact-milp/taker,True,GRB,OPTIMAL,3244.6435918915686,3244.6435918915686,0.0,3101.9999999999995,142.64359189156903,3.906240463256836,0.04422640800476074,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,28,0.00037943921921457235,0.6000000000000014,True,True,,,,,,0,True,True,,,
phase1-loop,taker-iteration,2026-08-15T01:34:24.351000+00:00,en-cc-unicorn-cpu-76.coecis.cornell.edu,cebe909,51443,23,syn-s0-n12,00b39b5d48ce,12,6,5b451b296016,a2c648d84305,3,150.0,98.3,3150.0,3244.677360274446,3244.677360274446,94.67736027444607,exact-milp/taker,True,GRB,OPTIMAL,3244.677360274446,3244.677360274446,0.0,3101.9999999999995,142.67736027444653,3.9606761932373047,0.04264688491821289,2350,888,2787,,,,,,94.98127572034872,91.75670572034872,3244.9812757203485,3241.7567057203487,98.3,loop,"[0, 12, 'duck', 0.002, 0.1]",0,duck,0.002,0.1,0.0001,29,0.00034149529729321504,0.0,True,True,,,,,,0,True,True,,,
