seed,n_trips,b,ub_ch,lb_best,z_d_ub,tol_d,uplift_lo,uplift_hi,width,positive_uplift_certified
12,12,0.05,3331.45919404,3331.45880038,3339.24846109,0.01,7.779267049999817,7.789660710000135,0.01039366000031805,True
13,8,0.01,4086.0,4086.0,4086.0,0.01,-0.010000000000218279,0.0,0.010000000000218279,False
13,8,0.05,4086.0,4086.0,4086.0,0.01,-0.010000000000218279,0.0,0.010000000000218279,False
13,12,0.01,4205.82037225,4205.82002765,4205.8207453,0.01,-0.00962694999998348,0.0007176500002969988,0.01034460000028048,False
13,12,0.05,4288.61575621,4288.61483155,4288.61648727,0.01,-0.00926893999985623,0.0016557199996896088,0.010924659999545838,False
14,8,0.01,2156.76581941,2156.76527396,2156.76582291,0.01,-0.009996499999942898,0.0005489500003932335,0.010545450000336132,False
14,8,0.05,2268.93883434,2268.93860712,2268.94205917,0.01,-0.006775170000310027,0.003452049999850715,0.010227220000160742,False
14,12,0.01,3266.4111416,3266.4109879,3266.41340599,0.01,-0.007735610000509041,0.0024180899999919347,0.010153700000500976,False
14,12,0.05,3464.28733951,3464.28682878,3465.60311619,0.01,1.3057766799997808,1.316287409999859,0.010510730000078183,True
15,8,0.01,3135.03853774,3135.03824935,3135.03974913,0.01,-0.008788610000010522,0.0014997799999036943,0.010288389999914216,False
15,8,0.05,3168.29792912,3168.29725389,3168.29798803,0.01,-0.009941090000211261,0.0007341400000768772,0.010675230000288138,False
15,12,0.01,3279.76031584,3279.7599628,3282.43152539,0.01,2.661209549999512,2.6715625900001214,0.010353040000609326,True
15,12,0.05,3459.6620862,3459.66169036,3465.03778603,0.01,5.365699829999812,5.376095669999813,0.010395840000001044,True
