family,seed,n_trips,b,low_lo,low_hi,high_lo,high_hi,diff_lo,diff_hi,classification
feedback_b,13,8,0.05-0.01,-0.010000000000218279,0.0,-0.010000000000218279,0.0,-0.010000000000218279,0.010000000000218279,crosses-or-touches-zero
feedback_b,13,12,0.05-0.01,-0.00962694999998348,0.0007176500002969988,-0.00926893999985623,0.0016557199996896088,-0.009986590000153228,0.01128266999967309,crosses-or-touches-zero
feedback_b,14,8,0.05-0.01,-0.009996499999942898,0.0005489500003932335,-0.006775170000310027,0.003452049999850715,-0.00732412000070326,0.013448549999793613,crosses-or-touches-zero
feedback_b,14,12,0.05-0.01,-0.007735610000509041,0.0024180899999919347,1.3057766799997808,1.316287409999859,1.3033585899997888,1.324023020000368,strictly-positive
feedback_b,15,8,0.05-0.01,-0.008788610000010522,0.0014997799999036943,-0.009941090000211261,0.0007341400000768772,-0.011440870000114955,0.009522750000087399,crosses-or-touches-zero
feedback_b,15,12,0.05-0.01,2.661209549999512,2.6715625900001214,5.365699829999812,5.376095669999813,2.694137239999691,2.714886120000301,strictly-positive
workload_n,0,12-8,0.01,-0.01000032000047213,0.0009860299996944377,-0.009189310000238038,0.002152340000066033,-0.010175339999932476,0.012152660000538162,crosses-or-touches-zero
workload_n,0,12-8,0.05,-0.009500870000465511,0.0010152499999094289,-0.009205370000017865,0.0010412900001028902,-0.010220619999927294,0.010542160000568401,crosses-or-touches-zero
workload_n,1,12-8,0.01,-0.010000000000218279,0.0,-0.006816060000346624,0.0037634099999195314,-0.006816060000346624,0.01376341000013781,crosses-or-touches-zero
workload_n,1,12-8,0.05,-0.009067740000318736,0.0011798199998338532,0.023615059999428922,0.03439471000001504,0.02243523999959507,0.043462450000333774,strictly-positive
workload_n,2,12-8,0.01,0.2824087599997256,0.2933804499998587,-0.008007910000287666,0.0024445799999739393,-0.30138836000014635,-0.27996417999975165,strictly-negative
workload_n,2,12-8,0.05,0.3787046900001769,0.38963746000035826,2.1667328999997153,2.1771033400000306,1.777095439999357,1.7983986499998537,strictly-positive
workload_n,3,12-8,0.01,-0.009813960000428779,0.0006079899999349436,0.020709739999801968,0.031198969999422843,0.020101749999867025,0.04101292999985162,strictly-positive
