seed,n_trips,b,method,a2_calls,method_calls,calls_diff,calls_ratio,a2_clean_calls,method_clean_calls,method_stab_calls,clean_calls_diff,clean_result_vs_a2,a2_solver_wall_s,method_solver_wall_s,wall_diff_s,wall_ratio,calls_result_vs_a2,both_certified
15,12,0.01,a3,28,40,12,1.42857142857,28,21,19,-7,win,159.795410633,137.282851696,-22.5125589371,0.859116361053,loss,True
0,8,0.05,a3,20,32,12,1.6,20,17,15,-3,win,17.7072184086,21.6391716003,3.93195319176,1.22205369025,loss,True
1,8,0.05,a3,17,28,11,1.64705882353,17,15,13,-2,win,7.82838559151,15.9560997486,8.1277141571,2.03823630838,loss,True
2,8,0.05,a3,29,54,25,1.86206896552,29,28,26,-1,win,35.1151163578,63.4036300182,28.2885136604,1.80559361878,loss,True
3,8,0.05,a3,21,20,-1,0.952380952381,21,11,9,-10,win,26.3195157051,32.0312280655,5.71171236038,1.21701434116,win,True
4,8,0.05,a3,32,54,22,1.6875,32,28,26,-4,win,28.1320662498,57.0267043114,28.8946380615,2.02710685397,loss,True
5,8,0.05,a3,16,14,-2,0.875,16,8,6,-8,win,5.7516579628,5.53204727173,-0.219610691071,0.96181784583,win,True
6,8,0.05,a3,18,26,8,1.44444444444,18,14,12,-4,win,17.0318624973,23.9581511021,6.92628860474,1.40666654077,loss,True
7,8,0.05,a3,19,18,-1,0.947368421053,19,10,8,-9,win,10.5845832825,12.385997057,1.80141377449,1.17019222452,win,True
8,8,0.05,a3,33,60,27,1.81818181818,33,31,29,-2,win,16.0770184994,24.5490295887,8.47201108932,1.52696406922,loss,True
9,8,0.05,a3,24,34,10,1.41666666667,24,18,16,-6,win,23.9720051289,27.9346821308,3.96267700195,1.16530436151,loss,True
10,8,0.05,a3,15,18,3,1.2,15,10,8,-5,win,5.72659254074,5.77539229393,0.0487997531891,1.00852160388,loss,True
11,8,0.05,a3,16,26,10,1.625,16,14,12,-2,win,10.3414568901,12.6475665569,2.30610966682,1.22299659432,loss,True
12,8,0.05,a3,18,18,0,1,18,10,8,-8,win,11.1074626446,11.477265358,0.369802713394,1.03329317642,tie,True
13,8,0.05,a3,2,2,0,1,2,2,0,0,tie,0.280346393585,0.208447933197,-0.0718984603882,0.743537059747,tie,True
14,8,0.05,a3,20,26,6,1.3,20,14,12,-6,win,11.1270532608,12.9999194145,1.87286615372,1.16831645448,loss,True
15,8,0.05,a3,28,48,20,1.71428571429,28,25,23,-3,win,24.9246559143,31.1267318726,6.20207595825,1.24883296201,loss,True
0,12,0.05,a3,17,24,7,1.41176470588,17,13,11,-4,win,391.945730925,473.661936045,81.7162051201,1.20848857041,loss,True
1,12,0.05,a3,22,20,-2,0.909090909091,22,11,9,-11,win,3531.14633226,2590.58768392,-940.558648348,0.733639288818,win,True
