lb_best,ub_ch,zd_minus_lb,method,seed,n_trips,b,outcome,certified,final_gap,oracle_calls,oracle_calls_clean,oracle_calls_stab,n_columns,serious_steps,null_steps,wall_clean_s,wall_stab_s,total_solver_wall_s,dictator_wall_s,broadcast_tv,broadcast_linf_max,broadcast_points,uplift_lo,uplift_hi,z_d_ub,tol_d,epsilon,budget,backend,mip_version,source_commit
2359.93455597,2359.93515214,2.15610761878,a2,5,8,0.05,certified,True,0.000596175178089,16,16,0,15,0,0,5.7516579628,0,5.7516579628,3.83144521713,137.460990345,4.5210725904,16,2.1355114436,2.14610761878,2362.08066359,0.01,0.01,240,GRB,1.17.6,84a5ead
2256.93186733,2256.9322731,0.839233184131,a2,6,8,0.05,certified,True,0.000405760919421,18,18,0,17,0,0,17.0318624973,0,17.0318624973,14.0989737511,175.143159582,6.41399819764,18,0.818827423211,0.82923318413,2257.76110052,0.01,0.01,240,GRB,1.17.6,84a5ead
2254.99904388,2254.99982017,3.03353660633,a2,7,8,0.05,certified,True,0.000776291718466,19,19,0,18,0,0,10.5845832825,0,10.5845832825,7.47404193878,146.607620583,4.48818050105,19,3.01276031461,3.02353660633,2258.02258048,0.01,0.01,240,GRB,1.17.6,84a5ead
2238.07933119,2238.08009132,4.81373969199,a2,8,8,0.05,certified,True,0.000760129759328,33,33,0,32,0,0,16.0770184994,0,16.0770184994,5.15171599388,216.795083493,5.16670453176,33,4.79297956223,4.80373969199,2242.88307089,0.01,0.01,240,GRB,1.17.6,84a5ead
2295.26883998,2295.26942753,0.304763385231,a2,9,8,0.05,certified,True,0.000587542883295,24,24,0,23,0,0,23.9720051289,0,23.9720051289,11.4934222698,207.750992953,4.46310237605,24,0.284175842347,0.29476338523,2295.56360337,0.01,0.01,240,GRB,1.17.6,84a5ead
2261.56349902,2261.564441,3.43951298178,a2,10,8,0.05,certified,True,0.000941986494581,15,15,0,14,0,0,5.72659254074,0,5.72659254074,5.29354476929,159.155217214,4.72989925105,15,3.41857099528,3.42951298178,2264.993012,0.01,0.01,240,GRB,1.17.6,84a5ead
3165.85426491,3165.8546685,0.0103882478334,a2,11,8,0.05,certified,True,0.000403594970976,16,16,0,15,0,0,10.3414568901,0,10.3414568901,6.28580975533,148.012852,5.589798,16,-0.0100153471381,0.000388247833143,3165.85465315,0.01,0.01,240,GRB,unknown,d89c672
2271.45163901,2271.45259262,3.22711620301,a2,12,8,0.05,certified,True,0.000953608358486,18,18,0,17,0,0,11.1074626446,0,11.1074626446,7.02142357826,141.113443383,4.64670453176,18,3.20616259465,3.21711620301,2274.66875522,0.01,0.01,240,GRB,1.17.6,84a5ead
4086,4086,0.0100000000002,a2,13,8,0.05,certified,True,0,2,2,0,1,0,0,0.280346393585,0,0.280346393585,0.240541696548,104.262677786,4.27373578176,2,-0.0100000000002,0,4086,0.01,0.01,240,GRB,1.17.6,84a5ead
2268.93860712,2268.93883434,0.0134520472393,a2,14,8,0.05,certified,True,0.000227222924877,20,20,0,19,0,0,11.1270532608,0,11.1270532608,6.54199099541,169.296577903,4.73146175105,20,-0.00677517568602,0.00345204723908,2268.94205917,0.01,0.01,240,GRB,1.17.6,84a5ead
